[2021-07-13 17:36:46,867] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.507.17 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,868] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.510.2 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,868] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.511.5 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,868] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.511.7 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,868] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.511.19 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,868] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.511.20 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,868] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.511.22 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,869] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.511.24 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,869] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.513.8 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,869] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.513.10 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,869] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.516.1 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,869] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.516.2 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,870] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.516.3 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,870] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.516.7 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,870] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.516.8 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,870] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.520.2 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,870] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.523.11 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,870] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.523.13 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,871] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.523.24 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,871] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.523.25 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,871] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.531.12 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,871] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.531.13 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,872] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.536.26 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,872] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.536.28 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,872] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.536.31 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,872] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.538.5 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,872] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.539.2 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,873] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.548.7 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,873] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.549.4 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,873] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.549.5 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,873] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.550.15 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,873] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.550.16 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,873] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.550.17 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,873] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.550.20 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,874] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.551.4 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,874] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.551.5 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,874] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.551.7 because not in annotation (SQANTI/MatchAnnot) file.
